index,close,open,high,low,volume
1638986400,50571.5,50300.5,50725.0,50080.0,22090500
1638990000,50474.5,50571.5,50867.5,50362.5,18079500
1638993600,50722.0,50474.5,50881.5,50370.5,17886000
1638997200,50606.0,50722.0,50815.5,50510.5,13140600
1639000800,50239.0,50606.0,50826.5,50125.0,30596100
1639004400,50493.5,50239.0,50595.0,50199.0,16266400
1639008000,50452.0,50493.5,50839.5,50343.0,31228800
1639011600,50207.5,50452.0,50523.0,50180.5,20064400
1639015200,49927.0,50207.5,50284.5,49634.0,40051100
1639018800,49539.0,49927.0,49952.0,49451.0,25236700
1639022400,49815.5,49539.0,49822.5,49462.5,15378000
1639026000,49808.5,49815.5,49908.5,49660.5,11677000
1639029600,49629.5,49808.5,49876.0,49499.5,27405900
1639033200,50032.0,49629.5,50360.0,49185.5,78821400
1639036800,49529.0,50032.0,50030.0,49255.0,42696900
1639040400,49213.5,49529.0,49549.0,48904.0,67817600
1639044000,49321.5,49213.5,49410.0,48935.5,23897000
1639047600,49189.5,49321.5,49409.0,49040.5,20426100
1639051200,49414.5,49189.5,49649.0,48954.0,33767800
1639054800,49355.5,49414.5,49415.0,49080.5,22065900
1639058400,48605.0,49355.5,49463.5,48520.0,53109600
1639062000,48469.5,48605.0,48799.5,48085.0,78640100
1639065600,48527.5,48469.5,48850.0,48203.0,48291900
1639069200,48189.0,48527.5,48712.5,48126.5,29266800
1639072800,47756.5,48189.0,48380.0,47519.5,70093800
1639076400,47643.5,47756.5,48043.5,47570.5,30403300
1639080000,47685.5,47643.5,47736.0,47350.0,64019200
1639083600,47970.0,47685.5,48137.5,47593.5,28095300
1639087200,47931.0,47970.0,48449.5,47688.0,30080600
1639090800,47567.0,47931.0,48250.0,47525.0,28207300
1639094400,48001.5,47567.0,48779.0,47441.5,65772700
1639098000,48406.0,48001.5,48545.5,47758.5,45167500
1639101600,48491.5,48406.0,48755.0,48282.5,25346900
1639105200,48367.0,48491.5,48570.0,48241.0,15924600
1639108800,48178.5,48367.0,48555.0,48178.5,17258000
1639112400,48254.5,48178.5,48364.0,48060.5,16930000
1639116000,47863.0,48254.5,48430.5,47825.0,20144700
1639119600,47694.0,47863.0,48039.5,47588.0,39616200
1639123200,48110.0,47694.0,48169.5,47650.0,26141200
1639126800,48382.0,48110.0,48539.5,47876.5,32893900
1639130400,48222.5,48382.0,48499.0,48157.5,21445900
1639134000,48714.5,48222.5,48738.5,48217.0,25408700
1639137600,49078.5,48714.5,49254.0,48673.0,44746800
1639141200,49621.5,49078.5,50100.0,48886.0,125359300
1639144800,48300.0,49621.5,49823.5,48144.5,120078100
1639148400,47978.5,48300.0,48607.5,47762.0,79357600
1639152000,47536.0,47978.5,47979.0,47256.0,76751800
1639155600,47708.5,47536.0,47749.0,47299.0,27755900
1639159200,47824.5,47708.5,48319.5,47647.5,42226800
1639162800,48117.0,47824.5,48207.0,47655.5,20665900
1639166400,48440.5,48117.0,48476.0,48100.0,21496900
1639170000,47937.5,48440.5,48532.5,47804.5,17092700
1639173600,47520.0,47937.5,48102.5,47450.0,23140400
1639177200,47161.0,47520.0,47797.5,46909.0,68544000
1639180800,47748.0,47161.0,48493.5,46767.5,96961500
1639184400,47920.5,47748.0,48229.0,47659.0,54406100
1639188000,48230.0,47920.5,48230.5,47905.0,13507200
1639191600,48292.0,48230.0,48658.0,48162.5,28960100
1639195200,48550.0,48292.0,48618.5,48265.0,16024700
1639198800,48307.5,48550.0,48599.0,48200.5,12858800
1639202400,48046.5,48307.5,48924.0,47988.5,45571300
1639206000,48054.0,48046.5,48170.0,47775.5,22948200
1639209600,48381.5,48054.0,48950.0,47865.5,88575200
1639213200,48519.0,48381.5,48616.0,48108.5,20632400
1639216800,48375.0,48519.0,48577.5,48318.0,12914700
1639220400,48232.0,48375.0,48444.0,48175.0,11569700
1639224000,48519.5,48232.0,48583.5,48193.5,24655200
1639227600,48342.0,48519.5,48980.5,48167.0,41390900
1639231200,48472.0,48342.0,48550.0,48160.5,18291000
1639234800,48767.5,48472.0,48777.0,48453.0,18644100
1639238400,49024.0,48767.5,49282.0,48703.0,46230200
1639242000,48708.0,49024.0,49067.0,48583.5,22673500
1639245600,48676.5,48708.0,48858.5,48574.5,14237600
1639249200,48429.5,48676.5,48796.5,48390.0,14851200
1639252800,48566.0,48429.5,48737.0,48406.5,9829300
1639256400,48769.0,48566.0,48851.5,48399.5,14982600
1639260000,48850.0,48769.0,49150.5,48634.0,15613100
